# Output file from SEISAN Explorer
# 
# The values between the separators are:
# Latitude
# Longitude
# Depth
# Main magnitude
# Date
# Time
#
6.808;-73.138;154.3;4.3;2015-10-29;22:40:25;
7.448;-73.202;134.5;3.4;2015-11-08;18:50:08.9;
6.818;-73.154;140.4;3.4;2015-11-15;13:33:42.4;
6.818;-73.128;150.9;3.8;2015-11-19;20:19:33.1;
6.831;-73.104;154;3.7;2015-11-26;13:40:09.2;
6.839;-73.149;154;4.9;2015-11-28;17:45:03.7;
6.836;-73.126;155.3;3.9;2015-11-30;21:51:48.5;
6.823;-73.114;152;3.4;2015-12-02;20:03:58;
6.855;-73.124;154;3.4;2015-12-07;19:26:33.1;
6.821;-73.138;151.4;4;2015-12-09;18:10:22.9;
6.821;-73.154;147.4;3.6;2015-12-24;19:13:56.8;
6.831;-73.136;152.4;4.2;2015-12-26;13:04:59.5;
6.803;-73.144;139.2;3.6;2015-12-29;20:10:57.6;
